Symbol,Watch Start,Date Added,Comment,Name
TMUS,41.18000000,2016-04-26,,T-Mobile US Inc.
TSLA,251.82000000,2016-04-26,,Tesla Motors Inc.
TXN,59.02000000,2016-04-26,,Texas Instruments Incorporated
KHC,78.73000000,2016-04-26,,The Kraft Heinz Company
PCLN,1335.27000000,2016-04-26,,The Priceline Group Inc.
TSCO,95.14000000,2016-04-26,,Tractor Supply Company
TRIP,62.55000000,2016-04-26,,TripAdvisor Inc.
FOX,30.93000000,2016-04-26,,Twenty-First Century Fox Inc.
FOXA,31.06000000,2016-04-26,,Twenty-First Century Fox Inc.
ULTA,207.37000000,2016-04-26,,Ulta Salon Cosmetics &amp; Fragrance Inc.
VRSK,78.43000000,2016-04-26,,Verisk Analytics Inc.
VRTX,85.66000000,2016-04-26,,Vertex Pharmaceuticals Incorporated
VIAB,43.25000000,2016-04-26,,Viacom Inc.
VOD,33.38000000,2016-04-26,,Vodafone Group Plc
WBA,80.39000000,2016-04-26,,Walgreens Boots Alliance Inc.
WDC,43.34000000,2016-04-26,,Western Digital Corporation
WFM,29.74000000,2016-04-26,,Whole Foods Market Inc.
XLNX,45.79000000,2016-04-26,,Xilinx Inc.
YHOO,37.23000000,2016-04-26,,Yahoo! Inc.
